date,HDFCBANK,ICICIBANK,SBIN,TCS,INFY,WIPRO,RELIANCE,ONGC,HINDUNILVR,ITC,MARUTI,M&M,SUNPHARMA,DRREDDY,TATASTEEL,ULTRACEMCO
2025-09-30,1634.66,1279.22,805.24,3937.43,1731.23,511.69,2957.83,255.49,2508.04,446.34,11357.37,2875.84,1686.44,6817.37,155.31,11088.69
2025-10-01,1634.13,1287.29,786.5,3997.94,1727.64,519.31,3007.07,262.22,2547.09,444.24,11435.5,2884.65,1655.74,6677.46,156.87,11042.67
2025-10-02,1681.23,1272.07,796.77,4047.11,1754.08,509.84,3013.52,266.75,2539.65,454.16,11726.42,2927.46,1651.11,6748.52,157.48,11035.73
2025-10-03,1711.57,1287.14,812.45,4081.66,1728.72,514.83,3009.06,260.67,2537.98,456.82,11803.15,2958.51,1674.59,6677.98,156.2,11368.19
2025-10-06,1703.82,1269.61,814.8,4052.53,1740.72,518.38,2981.77,255.02,2536.5,451.28,11686.2,2937.79,1692.95,6471.07,152.43,11434.86
2025-10-07,1698.08,1292.24,830.09,4084.63,1729.77,519.3,3021.58,259.34,2604.68,452.24,11794.68,2952.06,1710.44,6504.59,151.57,11582.71
2025-10-08,1666.96,1243.23,819.98,4040.6,1701.98,517.71,2942.81,255.24,2626.77,452.93,11646.08,2950.01,1690.57,6487.71,150.22,11580.54
2025-10-09,1697.74,1238.71,819.9,4134.08,1715.33,517.58,2928.4,255.63,2669.07,461.74,11753.82,2997.84,1661.19,6586.98,153.21,11512.24
2025-10-10,1700.72,1211.18,807.26,4112.89,1680.71,516.37,2862.98,261.4,2658.16,458.61,11712.54,3001.76,1618.47,6633.29,154.97,11690.15
2025-10-13,1704.84,1196.37,808.93,4151.93,1682.46,503.83,2858.05,256.32,2632.56,457.65,11603.61,2969.4,1617.42,6451.44,155.12,11551.46
2025-10-14,1668.62,1193.86,805.71,4098.0,1692.18,484.06,2803.18,250.93,2641.67,455.08,11528.86,2946.74,1597.38,6293.47,153.55,11531.58
2025-10-15,1700.84,1202.14,833.05,4143.48,1717.8,496.95,2827.71,255.35,2632.86,456.71,11721.33,3001.77,1597.49,6536.1,159.13,11403.15
2025-10-16,1705.05,1196.62,843.71,4092.86,1680.93,489.32,2842.94,256.49,2624.22,455.83,11631.77,2978.43,1595.73,6434.7,159.5,11104.55
2025-10-17,1681.93,1190.1,837.32,4094.25,1671.38,483.9,2810.24,257.26,2614.44,454.03,11497.97,2938.01,1589.95,6460.73,158.36,11111.35
2025-10-20,1669.55,1189.91,819.35,4139.4,1681.4,472.81,2806.42,260.04,2649.09,456.51,11328.06,2987.47,1602.13,6379.46,160.0,10970.33
2025-10-21,1681.38,1179.03,821.39,4156.99,1649.87,466.33,2812.91,262.45,2648.32,462.99,11503.05,3006.14,1614.5,6417.44,161.73,10745.31
2025-10-22,1687.62,1193.14,827.64,4163.0,1632.93,467.0,2844.03,265.65,2592.34,463.34,11568.96,2986.51,1646.21,6384.18,162.2,10846.12
2025-10-23,1689.53,1207.16,829.72,4132.83,1657.34,464.34,2870.84,265.73,2611.24,464.3,11555.32,2988.37,1653.97,6456.59,161.82,11168.04
2025-10-24,1694.51,1217.11,827.76,4140.06,1669.53,468.91,2862.25,267.29,2600.25,468.49,11700.82,3007.48,1659.55,6493.81,164.37,11397.54
2025-10-27,1723.93,1246.1,854.19,4158.91,1712.03,482.98,2922.37,274.44,2634.72,475.61,12008.11,3127.54,1723.53,6585.19,173.26,11544.69
2025-10-28,1719.72,1246.9,843.69,4104.69,1745.96,482.9,2942.36,274.07,2625.96,475.96,11802.88,3121.09,1694.35,6467.45,171.85,11509.48
2025-10-29,1733.66,1275.26,830.76,4093.44,1747.74,481.71,2938.51,275.88,2610.86,473.37,11811.9,3112.52,1744.58,6458.69,172.8,11590.68
2025-10-30,1682.68,1265.75,825.25,4115.09,1748.79,487.88,2869.41,275.74,2617.85,466.33,11623.67,3054.56,1736.21,6305.22,166.43,11679.83
2025-10-31,1688.52,1266.51,827.29,4256.96,1820.12,483.91,2908.36,277.86,2588.85,465.5,11686.25,3093.56,1756.67,6377.44,168.15,11683.08
2025-11-03,1708.45,1264.88,842.3,4277.78,1834.24,489.49,2908.88,277.74,2593.3,475.58,11878.39,3126.91,1791.12,6675.71,171.5,11786.53
2025-11-04,1710.95,1246.74,844.02,4334.43,1813.64,496.52,2949.57,277.63,2608.49,474.48,11966.9,3104.33,1831.07,6789.54,169.69,11819.09
2025-11-05,1692.29,1218.67,821.79,4309.69,1808.99,500.56,2955.49,274.75,2579.94,476.77,11824.6,3038.22,1831.28,6800.48,171.72,11824.16
2025-11-06,1654.0,1196.92,807.49,4268.84,1804.87,486.33,2938.58,272.95,2527.61,471.28,11572.64,2967.47,1777.62,6739.35,169.01,11730.44
2025-11-07,1668.45,1201.65,830.33,4313.79,1803.59,487.63,2963.61,285.14,2553.69,475.13,11730.19,3025.48,1822.48,6605.7,170.18,11769.27
2025-11-10,1705.11,1213.65,825.21,4346.95,1792.36,500.85,2980.01,285.08,2592.81,487.22,11807.56,3079.48,1830.04,6534.15,172.49,12037.95
2025-11-11,1690.68,1219.38,807.45,4374.08,1854.75,507.31,3018.87,288.83,2599.96,485.66,12079.76,3131.9,1843.72,6680.69,170.21,12268.34
2025-11-12,1693.03,1201.0,780.31,4328.11,1850.66,504.91,2985.34,291.64,2541.02,475.68,11963.87,3098.83,1800.31,6568.2,166.67,12278.11
2025-11-13,1691.63,1217.2,782.86,4277.16,1837.33,504.59,2999.97,292.84,2561.75,481.4,11788.27,3130.46,1816.8,6520.2,169.23,12562.85
2025-11-14,1692.39,1229.95,784.25,4215.99,1860.57,502.49,3031.68,304.7,2522.73,478.83,11840.3,3089.56,1804.19,6511.99,168.33,12512.56
2025-11-17,1680.14,1229.31,785.12,4252.12,1861.58,505.63,3020.04,303.51,2533.39,479.68,12062.8,3122.68,1810.75,6432.21,167.37,12786.2
2025-11-18,1688.46,1226.91,807.22,4275.58,1870.58,508.62,3027.58,308.18,2524.81,481.32,12367.78,3171.29,1822.23,6378.38,172.56,12955.72
2025-11-19,1711.03,1237.69,780.61,4258.91,1887.66,509.49,2995.63,304.87,2499.96,483.27,12589.56,3199.16,1871.25,6386.61,175.9,13512.45
2025-11-20,1730.26,1247.05,791.72,4286.71,1868.63,513.77,2982.55,305.45,2499.32,482.72,12606.67,3244.4,1933.05,6350.21,179.09,13381.23
2025-11-21,1757.51,1224.23,809.25,4323.29,1877.95,509.28,2926.14,306.88,2495.76,482.31,12709.98,3220.45,1935.4,6290.54,178.33,13272.87
2025-11-24,1780.17,1225.72,799.85,4342.72,1928.98,514.59,2957.96,312.18,2484.46,485.24,12686.98,3194.35,1943.13,6241.06,178.74,13369.53
2025-11-25,1797.15,1235.73,802.23,4340.14,1951.66,539.37,3036.08,316.07,2507.89,484.25,12823.17,3207.3,1947.88,6321.49,179.09,13498.01
2025-11-26,1800.48,1207.63,778.86,4332.22,1915.84,517.87,3035.42,317.22,2475.29,475.22,12429.76,3146.94,1941.93,6215.31,172.41,13675.61
2025-11-27,1801.98,1207.52,766.1,4387.23,1897.65,518.29,2972.27,315.48,2493.82,472.53,12307.61,3148.46,1926.57,6181.01,169.34,13528.9
2025-11-28,1807.13,1180.44,757.88,4388.69,1879.29,510.16,2980.32,311.99,2493.39,465.33,12157.37,3088.16,1905.81,6202.4,166.68,13631.54
2025-12-01,1791.88,1195.18,766.1,4404.09,1861.86,510.58,3005.54,323.73,2467.09,461.08,12132.73,3030.63,1914.91,6152.72,162.79,13761.36
2025-12-02,1788.29,1212.09,782.47,4446.91,1847.98,509.29,2981.73,324.74,2442.42,460.3,12161.58,2998.28,1895.75,6113.15,159.07,13851.77
2025-12-03,1801.66,1221.88,794.23,4562.0,1895.65,523.1,3032.36,326.46,2425.43,465.2,12449.82,3062.01,1927.45,6238.04,163.8,13841.37
2025-12-04,1802.86,1219.43,805.66,4551.65,1839.29,526.57,2940.01,319.45,2419.5,460.52,12162.56,2984.33,1870.65,6242.38,161.65,13991.77
2025-12-05,1800.1,1190.38,816.23,4621.27,1876.18,533.52,2978.57,318.02,2425.12,464.53,12299.28,2994.81,1908.09,6286.16,167.71,14308.75
2025-12-08,1784.72,1157.42,817.45,4570.45,1837.78,531.95,2892.21,316.65,2346.44,455.07,11934.03,2893.64,1917.28,6193.42,161.4,14232.43
2025-12-09,1776.19,1149.91,812.68,4505.66,1840.57,513.02,2887.83,313.47,2329.54,456.06,11958.85,2879.6,1926.96,6108.73,160.93,14231.07
2025-12-10,1796.93,1135.24,815.73,4543.98,1817.02,525.28,2844.25,314.66,2311.52,461.78,12099.09,2858.08,1965.96,6047.03,161.95,14286.96
2025-12-11,1818.25,1150.88,825.98,4507.69,1857.79,531.33,2878.45,316.41,2354.96,462.58,12303.12,2882.04,1958.11,6142.67,163.17,14334.65
2025-12-12,1859.17,1187.56,870.34,4502.23,1899.71,543.44,2932.1,322.84,2326.39,467.32,12351.75,2941.13,1979.77,6220.04,166.66,14524.85
2025-12-15,1884.45,1176.48,889.53,4595.71,1937.03,538.93,2931.7,321.25,2305.11,469.83,12218.67,2946.1,1974.18,6304.13,170.54,14615.93
2025-12-16,1852.78,1160.47,876.85,4618.53,1893.79,530.67,2885.0,314.26,2324.87,469.61,11984.95,2923.92,1960.38,6306.38,170.06,14423.77
2025-12-17,1843.78,1159.79,882.91,4666.5,1905.29,528.97,2804.65,313.68,2348.78,473.25,12041.35,2926.84,1968.65,6282.09,168.11,14186.78
2025-12-18,1839.21,1192.07,888.4,4691.89,1930.28,533.76,2821.87,319.9,2343.85,478.83,12148.8,2956.84,1990.43,6391.53,170.01,14144.88
2025-12-19,1827.6,1171.38,880.14,4629.21,1887.81,534.64,2798.24,320.88,2326.81,471.48,12041.18,2932.96,1950.94,6459.72,166.75,14161.94
2025-12-22,1830.3,1163.63,876.07,4561.44,1864.6,535.1,2714.57,311.91,2322.7,467.59,11979.5,2900.86,1890.83,6460.4,161.41,14020.47
2025-12-23,1821.46,1181.15,863.32,4516.26,1853.25,515.68,2694.95,311.23,2255.72,467.12,11906.2,2840.26,1834.06,6382.48,156.97,13937.03
2025-12-24,1795.17,1147.74,856.02,4479.67,1850.13,517.34,2655.58,304.11,2203.35,462.38,11751.74,2824.03,1825.7,6445.56,152.37,13925.54
2025-12-25,1787.32,1132.91,861.65,4551.96,1862.7,520.15,2638.56,303.19,2203.81,468.03,11805.95,2856.72,1883.99,6494.74,154.49,13868.15
2025-12-26,1790.0,1127.78,867.06,4541.32,1871.85,519.42,2626.52,298.95,2238.71,466.13,11815.83,2854.56,1919.28,6557.97,156.99,14135.76
2025-12-29,1782.16,1125.96,879.88,4587.2,1919.24,512.75,2676.23,307.82,2238.43,463.73,11953.03,2897.9,1888.92,6624.79,157.28,14160.91
2025-12-30,1764.75,1134.1,852.09,4523.07,1941.27,513.83,2681.18,309.45,2234.74,462.39,12032.54,2885.23,1913.13,6619.26,156.54,14038.43
2025-12-31,1771.97,1138.93,861.48,4549.96,1874.57,497.76,2681.63,313.06,2261.27,456.82,12099.2,2917.22,1938.96,6563.14,155.11,14137.9
2026-01-01,1799.97,1118.1,856.94,4577.07,1877.78,505.61,2717.23,321.83,2316.13,458.57,12277.5,2932.82,1915.25,6663.35,156.29,13883.84
2026-01-02,1804.31,1122.85,836.77,4528.99,1868.22,493.54,2674.37,335.82,2298.89,461.78,12337.18,2918.69,1900.94,6901.59,154.16,13715.21
2026-01-05,1775.88,1118.21,841.0,4537.74,1834.81,496.31,2687.99,328.16,2304.66,456.93,12300.01,2938.35,1937.08,6895.59,156.48,13929.16
2026-01-06,1769.76,1131.06,834.51,4500.28,1825.43,491.83,2673.11,321.65,2336.03,449.69,12256.88,2923.86,1935.4,6858.45,153.38,13563.57
2026-01-07,1764.89,1118.6,822.61,4472.1,1848.02,497.79,2649.09,316.99,2296.89,444.62,12163.08,2881.18,1895.71,6793.39,154.12,13713.57
2026-01-08,1764.98,1105.99,827.62,4534.89,1816.03,494.41,2650.49,311.13,2314.28,442.82,11853.22,2887.64,1901.62,6723.99,152.59,13931.0
2026-01-09,1770.49,1103.54,799.86,4478.29,1803.27,483.24,2594.87,301.38,2275.21,436.73,11453.48,2842.94,1825.82,6787.15,148.19,13741.73
2026-01-12,1746.54,1118.6,800.42,4487.89,1790.39,482.36,2622.38,301.54,2283.96,443.39,11437.82,2833.29,1830.7,6756.09,147.33,13840.65
2026-01-13,1730.02,1120.99,789.07,4374.6,1767.21,488.32,2624.61,293.89,2272.08,444.7,11408.55,2840.19,1846.71,6682.82,146.48,13982.79
2026-01-14,1739.01,1096.61,788.56,4335.78,1800.59,491.95,2543.46,295.5,2251.25,446.42,11419.49,2894.4,1847.13,6541.89,147.99,13902.06
2026-01-15,1722.6,1108.27,796.42,4343.98,1796.09,491.84,2589.16,297.34,2236.32,448.86,11513.61,2941.32,1845.54,6504.18,149.71,14101.68
2026-01-16,1751.86,1097.05,790.09,4332.42,1813.98,492.57,2517.15,301.21,2248.14,452.04,11768.77,2998.1,1875.56,6382.68,154.81,14030.6
2026-01-19,1768.02,1105.92,804.76,4420.39,1782.33,485.46,2517.93,306.03,2278.71,451.77,11758.89,3032.27,1912.91,6476.5,159.24,14016.43
2026-01-20,1779.37,1084.64,804.27,4408.52,1822.97,487.47,2542.94,308.67,2274.37,454.31,11738.22,2984.75,1942.08,6717.26,158.36,13866.67
2026-01-21,1763.6,1087.31,779.39,4447.12,1829.45,473.48,2522.62,305.21,2270.0,448.67,11694.54,2918.05,1953.64,6656.88,156.54,13879.87
2026-01-22,1774.72,1075.16,758.01,4446.04,1823.64,477.94,2480.71,315.71,2281.29,451.2,11610.76,2920.08,1978.18,6503.93,157.13,14070.36
2026-01-23,1763.87,1043.64,741.12,4375.8,1807.99,469.94,2407.89,310.72,2237.18,448.3,11335.58,2826.71,1957.76,6478.53,150.91,13859.72
2026-01-26,1744.19,1041.67,724.84,4311.19,1751.88,477.99,2397.31,296.25,2233.59,443.07,10960.54,2739.51,1931.56,6328.17,148.95,13494.09
2026-01-27,1726.71,1034.3,711.22,4256.55,1756.23,463.93,2315.21,286.9,2233.38,437.1,10876.72,2679.57,1904.25,6359.06,146.0,13181.14
2026-01-28,1715.0,1018.13,701.56,4288.64,1732.58,458.17,2318.61,275.52,2276.3,434.42,10663.01,2649.94,1876.67,6275.12,143.78,13145.27
2026-01-29,1708.22,1040.64,707.29,4206.06,1734.37,471.69,2326.82,276.83,2273.36,426.51,10899.09,2634.19,1856.64,6244.73,145.93,13487.95
2026-01-30,1691.89,1027.41,707.84,4086.67,1708.85,474.71,2274.91,273.33,2250.97,423.93,10754.91,2585.58,1815.27,6176.24,146.39,13460.39
2026-02-02,1683.71,1024.75,693.66,4049.43,1690.12,468.15,2251.35,269.98,2262.43,422.06,10784.34,2602.34,1800.76,6216.38,145.64,13356.59
2026-02-03,1709.3,1038.51,694.36,4100.45,1725.7,476.26,2257.47,283.26,2298.0,426.93,10979.98,2633.22,1833.15,6272.72,148.88,13614.96
2026-02-04,1718.53,1027.23,680.81,4114.34,1725.33,474.34,2269.77,284.6,2281.18,427.82,10920.13,2636.93,1858.63,6209.41,150.46,13536.88
2026-02-05,1714.09,1039.3,690.03,4162.82,1751.46,479.98,2305.46,290.44,2282.25,430.45,10982.51,2657.27,1873.22,6235.09,154.15,13547.21
2026-02-06,1697.6,1024.62,693.1,4109.46,1735.82,470.46,2240.6,282.88,2281.23,423.02,10846.09,2629.04,1876.37,6075.26,150.98,13292.27
2026-02-09,1716.31,1017.42,687.07,4142.96,1743.57,468.75,2225.77,277.54,2260.2,421.74,10840.56,2644.27,1897.15,6095.11,150.39,13503.77
2026-02-10,1690.41,1028.03,655.77,4147.44,1718.78,453.69,2182.8,274.61,2238.37,418.26,10625.95,2619.8,1870.82,5897.07,148.12,12991.26
2026-02-11,1673.04,1011.43,637.81,4141.17,1762.21,452.78,2205.23,274.26,2235.61,417.3,10562.63,2625.1,1877.2,5842.62,147.8,13085.42
2026-02-12,1688.72,986.34,637.54,4214.67,1740.97,459.75,2192.6,268.55,2268.4,421.03,10636.33,2634.88,1889.39,5948.43,147.71,13091.67
2026-02-13,1674.52,993.91,618.41,4156.27,1740.43,449.64,2190.07,262.38,2231.88,417.7,10569.54,2585.96,1882.87,5875.73,140.63,12855.75
2026-02-16,1681.19,1030.8,618.41,4149.89,1777.84,441.75,2199.14,263.71,2198.2,415.85,10626.18,2585.1,1907.16,5945.87,140.27,13169.55
2026-02-17,1704.32,1027.12,620.56,4188.08,1762.45,448.92,2177.02,263.45,2160.94,417.29,10794.09,2600.34,1883.81,5953.17,139.3,13075.63
2026-02-18,1707.69,996.85,613.02,4168.47,1802.66,448.19,2147.38,258.11,2127.18,419.13,10684.71,2580.62,1874.49,6012.85,136.76,12906.79
2026-02-19,1697.64,981.78,609.99,4110.66,1800.78,436.67,2096.26,251.51,2082.21,408.1,10486.91,2530.8,1881.74,6004.95,134.17,12745.15
2026-02-20,1706.84,978.55,604.88,4174.11,1824.08,435.26,2069.03,250.94,2079.87,408.9,10385.41,2540.56,1878.76,6044.28,134.06,12816.23
2026-02-23,1733.29,972.07,593.59,4052.06,1815.48,423.79,2059.3,249.72,2049.56,405.07,10268.88,2500.56,1877.58,6088.78,133.05,12694.29
2026-02-24,1733.72,959.67,599.18,4003.6,1814.21,418.83,2037.03,252.86,2038.44,404.75,10319.1,2481.13,1895.26,6163.02,131.72,12469.84
2026-02-25,1703.93,966.99,586.89,3956.83,1809.55,415.76,1989.98,257.41,2023.44,402.0,10453.35,2499.95,1871.01,6127.23,131.04,12337.64
2026-02-26,1753.15,985.53,602.45,4003.19,1845.76,430.3,2015.6,260.92,2034.16,407.39,10712.71,2569.26,1917.76,6108.18,135.78,12685.62
2026-02-27,1742.23,964.64,601.29,3983.47,1874.38,425.33,1971.59,258.2,2057.15,412.26,10794.14,2583.85,1879.11,6128.1,136.08,12673.19
2026-03-02,1727.56,965.76,591.96,3885.17,1860.55,424.26,1934.34,256.94,2057.52,404.43,10691.12,2539.99,1842.35,6113.26,132.45,12645.04
2026-03-03,1750.1,993.2,606.18,3853.36,1842.05,421.88,1918.92,260.03,2059.92,401.44,10858.18,2516.9,1870.93,6212.98,133.1,12619.87
2026-03-04,1729.16,996.99,602.71,3828.05,1864.99,424.28,1905.22,258.78,2053.37,398.22,10885.69,2546.15,1883.8,6147.29,137.01,12536.68
2026-03-05,1731.56,1002.89,630.87,3974.39,1910.8,429.74,1974.78,266.29,2061.4,408.57,11312.68,2594.27,1905.93,6150.22,140.36,12930.03
2026-03-06,1720.47,1007.35,635.77,4078.79,1941.58,438.89,1993.33,273.21,2078.14,410.23,11402.19,2636.77,1934.85,6236.19,141.34,12979.91
2026-03-09,1714.03,1018.12,627.68,4075.59,1966.31,437.3,2005.96,280.19,2094.2,411.46,11388.49,2637.16,1941.06,6250.33,141.94,12942.22
2026-03-10,1743.53,1006.51,640.37,4117.86,1986.34,434.74,1998.5,293.4,2094.11,415.71,11514.71,2737.72,1974.05,6177.73,145.87,13262.94
2026-03-11,1732.53,999.42,621.18,4024.25,1941.15,420.93,1959.38,285.22,2079.86,408.19,11533.59,2665.25,1963.03,6139.11,142.48,13026.41
2026-03-12,1726.48,989.37,609.62,3923.67,1908.22,414.87,1950.42,283.12,2031.64,405.04,11502.75,2629.83,1930.68,5951.74,140.76,12867.39
2026-03-13,1690.91,1006.21,605.38,3884.01,1852.73,403.58,1909.93,280.09,2024.39,409.24,11319.69,2592.57,1910.9,5825.02,136.12,12778.24
2026-03-16,1651.22,1000.82,606.73,3830.74,1851.31,404.08,1920.52,278.31,2034.42,412.14,11368.95,2552.17,1894.65,5909.13,133.65,12739.52
2026-03-17,1631.3,1011.97,590.73,3776.87,1825.46,395.42,1868.1,270.93,2012.15,404.27,11208.07,2502.45,1827.93,5976.96,130.11,12647.46
2026-03-18,1633.9,1002.26,603.61,3739.32,1825.91,411.4,1874.73,266.28,2055.33,408.64,11488.74,2562.55,1819.97,5914.67,131.33,13040.08
2026-03-19,1637.01,1008.13,611.27,3702.68,1754.93,400.6,1858.33,265.95,2035.12,405.18,11309.24,2542.37,1851.07,5875.53,129.93,13071.22
2026-03-20,1625.02,1000.88,611.25,3655.85,1703.6,395.24,1832.59,258.1,2021.37,394.3,11049.27,2490.39,1828.53,5797.43,126.23,12550.95
2026-03-23,1611.88,981.83,607.38,3633.31,1711.41,384.76,1800.28,255.39,2008.3,393.69,10848.42,2393.13,1777.32,5880.45,123.99,12504.49
2026-03-24,1627.1,986.36,621.17,3659.14,1701.84,383.4,1800.81,252.94,2010.0,398.33,10724.12,2404.12,1749.4,5858.15,125.94,12538.6
2026-03-25,1642.7,1008.41,612.12,3639.99,1722.87,387.64,1812.07,250.77,2017.76,404.61,10944.58,2430.14,1763.62,5866.02,127.69,12623.4
2026-03-26,1680.44,1019.52,625.59,3741.91,1724.49,383.62,1836.07,257.59,2044.0,410.58,11234.97,2492.32,1839.97,6101.78,132.97,12852.27
2026-03-27,1714.9,1019.67,642.31,3817.04,1804.53,397.31,1903.42,267.06,2096.9,421.14,11780.25,2636.31,1897.99,6238.85,139.27,13131.2
2026-03-30,1718.55,1022.56,646.75,3856.2,1808.01,409.69,1916.5,270.87,2130.04,425.15,12075.42,2646.33,1938.26,6323.31,141.21,13162.27
2026-03-31,1705.93,1002.86,633.35,3818.97,1797.72,402.67,1894.46,277.54,2117.28,422.55,11870.74,2599.91,1924.5,6141.05,139.27,13162.75
2026-04-01,1685.02,982.11,614.34,3690.12,1814.68,394.73,1843.31,271.94,2106.76,413.08,11474.56,2503.25,1888.71,6004.64,135.3,12865.23
2026-04-02,1683.21,982.97,632.34,3687.59,1854.29,401.47,1864.27,274.92,2095.8,408.95,11527.93,2473.34,1862.83,5886.43,137.04,12739.48
2026-04-03,1678.27,955.28,624.07,3671.96,1832.88,396.95,1843.36,267.49,2100.92,406.23,11484.2,2417.35,1867.02,5758.73,135.92,13143.38
2026-04-06,1667.94,932.29,624.05,3679.47,1811.87,391.93,1829.0,260.57,2080.25,408.03,11362.93,2420.31,1850.07,5800.47,134.72,12985.38
2026-04-07,1656.85,933.68,616.99,3652.41,1793.89,377.19,1819.0,265.51,2094.39,402.0,11205.62,2353.71,1856.79,5762.58,133.58,12940.37
2026-04-08,1666.59,926.23,616.37,3703.39,1802.92,379.9,1849.57,261.01,2137.51,403.43,11277.05,2332.81,1834.71,5729.6,134.84,12688.18
2026-04-09,1653.74,903.02,625.01,3778.99,1818.34,383.71,1843.58,259.7,2148.53,408.4,11483.27,2365.04,1861.2,5728.67,136.42,12807.5
2026-04-10,1637.38,913.3,630.01,3774.63,1811.69,378.97,1861.82,259.96,2105.49,411.33,11319.91,2405.84,1872.54,5719.4,135.79,12674.02
2026-04-13,1613.91,915.33,638.61,3796.89,1842.71,378.91,1820.96,259.04,2092.28,413.46,11182.11,2414.9,1865.25,5733.23,135.65,12588.42
2026-04-14,1566.47,899.58,644.1,3832.33,1822.08,371.57,1805.08,252.12,2104.02,407.34,11150.32,2363.18,1852.25,5752.31,133.74,12652.01
2026-04-15,1533.57,872.9,632.6,3845.47,1846.54,362.1,1803.43,245.97,2094.02,396.15,10920.77,2325.02,1810.59,5465.82,128.5,12565.44
2026-04-16,1536.67,879.08,633.51,3780.5,1840.05,363.15,1803.42,249.54,2092.81,392.74,10777.56,2292.02,1785.65,5379.81,127.23,12606.62
2026-04-17,1531.99,882.63,623.14,3743.36,1880.96,356.23,1805.5,246.05,2112.42,395.21,10753.11,2309.24,1820.53,5387.86,126.94,12326.9
2026-04-20,1559.4,922.78,636.92,3863.99,1920.77,368.44,1828.4,245.4,2144.74,399.97,11027.55,2348.81,1882.24,5470.11,127.76,12778.02
2026-04-21,1576.01,928.67,646.09,3827.75,1946.47,361.85,1831.33,249.56,2171.59,398.29,11112.1,2374.81,1866.92,5505.78,127.71,12601.89
2026-04-22,1608.54,940.32,662.12,3812.93,1946.26,362.37,1845.29,254.43,2203.69,396.29,11145.18,2404.26,1901.36,5576.09,129.74,12936.62
2026-04-23,1600.16,934.59,659.56,3775.94,1916.11,370.05,1819.86,250.34,2229.4,399.8,10990.03,2363.87,1872.7,5526.6,128.3,13050.76
2026-04-24,1601.65,935.95,657.1,3748.58,1905.82,370.95,1791.32,240.51,2221.16,397.96,10828.04,2314.29,1819.86,5426.19,127.61,13026.3
2026-04-27,1588.79,936.55,653.03,3709.85,1912.25,367.49,1776.66,234.88,2227.55,396.76,10669.93,2283.36,1822.96,5358.81,123.63,12794.52
2026-04-28,1566.74,946.57,657.34,3659.89,1900.05,359.81,1748.34,232.66,2211.21,397.05,10607.3,2246.9,1769.38,5404.35,120.85,12747.44
2026-04-29,1589.01,955.51,678.54,3709.99,1906.7,365.56,1772.6,243.05,2226.49,406.65,10825.45,2336.24,1834.15,5458.91,121.86,12876.64
2026-04-30,1556.84,944.03,667.89,3654.39,1859.55,362.6,1731.46,236.62,2252.14,402.81,10728.62,2293.65,1810.9,5411.65,119.38,12800.54
2026-05-01,1556.55,944.09,678.26,3651.33,1840.39,366.08,1754.1,238.56,2268.04,405.38,10951.98,2336.85,1823.35,5467.15,120.63,12840.44
2026-05-04,1538.88,947.19,644.01,3702.96,1784.28,361.96,1747.41,238.66,2273.22,400.69,10852.7,2311.15,1813.53,5534.9,117.95,12434.32
2026-05-05,1562.76,972.68,655.23,3746.99,1802.17,365.46,1768.97,231.92,2288.51,412.36,11008.77,2344.69,1846.2,5560.36,121.46,12695.59
2026-05-06,1591.81,969.62,626.63,3793.98,1834.41,365.87,1794.57,236.92,2280.73,415.56,11059.4,2350.18,1835.03,5651.99,123.5,12718.31
